  Frame_#         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      288        0.219        3.618            0      297.446      145.727      174.219
      289        0.480        3.650            0      299.281      145.060      175.574
      290        0.230        3.656            0      297.738      130.735      173.118
      291        0.287        3.644            0      296.955      138.936      173.143
      292        0.267        3.640            0      297.887      116.161      172.809
      293        0.246        3.599            0      293.921      141.508      169.779
      294        0.256        3.636            0      296.108      130.895      171.683
      295        0.228        3.614            0      297.303      143.801      176.955
      296        0.142        3.621            0      297.083      151.083      171.195
      297        0.217        3.636            0      297.070      129.999      174.034
      298        0.267        3.641            0      295.149      133.913      172.215
      299        0.300        3.671            0      298.314      107.004      174.859
      300        0.264        3.624            0      295.148      135.391      174.028
      301        0.357        3.635            0      297.921      140.688      178.232
      302        0.291        3.636            0      296.456      128.149      174.604
      303        0.329        3.627            0      296.793      133.291      177.207
      304        0.226        3.589            0      295.781      146.212      172.794
      305        0.245        3.616            0      295.320      111.204      169.980
      306        0.300        3.657            0      297.719      142.755      174.943
      307        0.211        3.612            0      296.387      136.696      171.515
      308        0.259        3.638            0      297.676      170.067      173.865
      309        0.292        3.653            0      298.143      134.552      175.790
      310        0.308        3.605            0      295.910      170.614      168.481
      311        0.252        3.612            0      296.672      152.050      173.565
      312        0.263        3.618            0      296.904      189.200      172.561
      313        0.244        3.586            0      294.256      145.337      170.713
      314        0.286        3.626            0      296.189      144.607      173.786
      315        0.327        3.648            0      298.238      137.184      173.816
      316        0.300        3.635            0      296.316      125.264      171.717
      317        0.432        3.642            0      296.958      120.717      170.678
      318        0.367        3.629            0      295.825      108.997      175.547
      319        0.341        3.656            0      298.319      101.727      176.107
      320        0.285        3.642            0      297.183      108.743      171.429
      321        0.385        3.644            0      298.481      164.689      175.021
      322        0.357        3.591            0      295.639      153.556      172.835
      323        0.330        3.624            0      296.384      145.019      172.260
      324        0.375        3.648            0      297.549       98.462      172.725
      325        0.335        3.654            0      298.176      111.261      177.436
      326        0.380        3.648            0      297.545      109.265      176.221
      327        0.293        3.634            0      297.063      107.699      173.010
      328        0.269        3.609            0      297.077      100.370      175.520
      329        0.198        3.625            0      296.937      124.950      172.440
      330        0.360        3.618            0      296.257      112.377      175.053
      331        0.208        3.584            0      295.040      119.891      172.641
      332        0.233        3.605            0      293.865      108.094      169.361
      333        0.148        3.593            0      294.186       91.319      172.918
      334        0.348        3.610            0      295.513       89.884      171.152
      335        0.339        3.646            0      297.708       94.529      174.691
      336        0.234        3.605            0      296.072       97.004      175.937
      337        0.277        3.616            0      296.563       66.608      174.350
      338        0.242        3.579            0      292.925       78.603      171.466
      339        0.308        3.628            0      297.338      102.470      174.110
      340        0.340        3.669            0      298.303       88.423      175.998
      341        0.292        3.616            0      297.575      102.860      176.061
      342        0.242        3.626            0      295.777      109.940      170.267
      343        0.275        3.621            0      296.839      102.403      175.145
      344        0.395        3.599            0      296.143      111.517      172.929
      345        0.272        3.645            0      296.264       97.164      170.851
      346        0.308        3.624            0      297.816       92.924      174.535
      347        0.335        3.630            0      298.003      136.134      174.270
      348        0.239        3.566            0      294.319      126.695      174.218
      349        0.232        3.625            0      297.051      107.528      173.623
      350        0.287        3.611            0      295.803      108.836      177.419
      351        0.280        3.645            0      297.980      116.601      171.102
      352        0.266        3.665            0      298.801       96.385      177.784
      353        0.323        3.608            0      295.486       86.361      173.803
      354        0.190        3.603            0      297.224      128.699      175.560
      355        0.196        3.601            0      296.119      112.121      176.608
      356        0.288        3.622            0      298.158       87.231      174.626
      357        0.252        3.615            0      296.632      107.607      171.428
      358        0.210        3.594            0      294.662      102.905      173.404
      359        0.256        3.609            0      295.317       85.447      175.298
      360        0.331        3.634            0      296.533      107.087      171.755
      361        0.298        3.658            0      297.620      116.211      171.200
      362        0.382        3.654            0      299.498      118.546      175.184
      363        0.220        3.662            0      298.674       96.616      172.850
      364        0.240        3.655            0      298.311       73.647      173.628
      365        0.233        3.654            0      297.730      104.294      174.625
      366        0.194        3.613            0      297.069      160.346      175.596
      367        0.288        3.630            0      297.970      136.513      172.340
      368        0.265        3.593            0      294.147       95.625      169.939
      369        0.218        3.623            0      296.862      101.713      175.665
      370        0.279        3.665            0      298.665      100.031      175.291
      371        0.266        3.613            0      298.127       98.249      175.685
      372        0.256        3.622            0      297.640       99.322      175.279
      373        0.232        3.636            0      296.807       92.494      172.485
      374        0.302        3.661            0      299.758      106.849      176.147
      375        0.221        3.614            0      295.043       93.921      171.924
      376        0.223        3.622            0      297.280       95.638      174.189
      377        0.240        3.594            0      294.546      114.881      174.614
      378        0.302        3.621            0      297.193      133.483      175.278
      379        0.187        3.608            0      294.977      108.790      175.085
      380        0.240        3.616            0      296.245      112.683      176.277
      381        0.261        3.624            0      296.579       90.758      172.582
      382        0.179        3.602            0      296.339      130.369      176.159
      383        0.299        3.608            0      296.819      106.359      174.303
      384        0.349        3.667            0      297.425       96.961      176.327
      385        0.287        3.619            0      296.511      101.878      174.547
      386        0.331        3.583            0      293.850       90.444      171.001
      387        0.340        3.651            0      299.918       94.088      175.147
      388        0.212        3.614            0      295.588      115.952      178.949
      389        0.319        3.641            0      298.876       95.220      175.100
      390        0.287        3.645            0      296.375       79.312      171.021
      391        0.243        3.621            0      296.288       62.272      171.053
      392        0.302        3.622            0      295.953       73.343      173.818
      393        0.277        3.675            0      300.673       73.640      176.140
      394        0.368        3.629            0      296.030       85.383      175.590
      395        0.404        3.640            0      295.620       85.215      169.373
      396        0.311        3.622            0      295.901       68.207      174.653
      397        0.224        3.620            0      295.763       75.891      174.551
      398        0.256        3.577            0      294.521       69.312      173.027
      399        0.332        3.656            0      298.794       62.580      174.933
      400        0.338        3.654            0      297.068       82.396      172.037
      401        0.296        3.636            0      295.880       65.637      174.652
      402        0.187        3.618            0      296.113       68.157      171.524
      403        0.267        3.609            0      296.226      111.918      175.998
      404        0.364        3.634            0      298.532       93.426      178.039
      405        0.248        3.627            0      295.964       78.669      171.817
      406        0.253        3.614            0      295.634      121.024      175.554
      407        0.254        3.632            0      296.678      113.978      172.686
      408        0.278        3.635            0      297.152      131.366      175.770
      409        0.249        3.616            0      296.727      111.360      172.872
      410        0.365        3.623            0      297.611       85.392      174.261
      411        0.189        3.613            0      296.239       98.331      171.984
      412        0.272        3.623            0      295.621      105.185      173.423
      413        0.251        3.604            0      297.198       90.032      175.249
      414        0.221        3.589            0      294.735      109.759      171.373
      415        0.259        3.650            0      297.789      134.821      172.506
      416        0.295        3.662            0      298.029      154.657      176.810
      417        0.221        3.629            0      297.006      124.522      175.414
      418        0.256        3.613            0      297.263      101.260      177.635
      419        0.185        3.654            0      296.796      104.340      171.990
      420        0.290        3.650            0      297.245      143.010      171.799
      421        0.273        3.639            0      297.997      108.125      177.988
      422        0.251        3.609            0      296.162      134.031      172.472
      423        0.206        3.613            0      297.234      105.352      172.973
      424        0.374        3.691            0      300.115      110.539      175.139
      425        0.270        3.604            0      295.765      114.039      173.813
      426        0.227        3.610            0      296.808      117.382      176.298
      427        0.299        3.648            0      297.504      106.217      173.223
      428        0.206        3.565            0      293.943       94.352      172.976
      429        0.225        3.604            0      295.840      112.673      173.278
      430        0.194        3.630            0      296.813      101.702      171.600
      431        0.251        3.620            0      296.958       98.425      174.315
      432        0.252        3.632            0      297.450      114.372      177.707
      433        0.247        3.596            0      295.443      113.649      171.728
      434        0.242        3.627            0      296.866      120.761      172.926
      435        0.329        3.665            0      299.106      109.578      175.050
      436        0.295        3.590            0      295.167       93.412      175.151
      437        0.323        3.633            0      296.630      103.813      176.173
      438        0.389        3.621            0      296.085       97.976      175.149
      439        0.290        3.648            0      298.347      119.494      176.835
      440        0.289        3.641            0      298.562      122.511      178.697
      441        0.228        3.602            0      297.392       91.774      176.970
      442        0.254        3.639            0      297.467       86.020      172.408
      443        0.336        3.625            0      297.095      108.752      177.547
      444        0.344        3.635            0      297.381       98.352      173.868
      445        0.261        3.636            0      297.388       92.722      172.440
      446        0.246        3.571            0      295.392      112.341      175.838
      447        0.350        3.605            0      295.861      107.342      175.309
      448        0.285        3.625            0      295.529       88.658      173.052
      449        0.325        3.634            0      296.698       87.099      172.237
      450        0.266        3.622            0      297.168      103.063      175.904
      451        0.244        3.604            0      294.943       89.475      170.875
      452        0.248        3.624            0      298.117      109.785      171.536
      453        0.294        3.603            0      295.777       87.537      177.238
      454        0.194        3.605            0      295.120       94.508      169.643
      455        0.251        3.628            0      297.058       81.630      170.885
      456        0.186        3.612            0      295.960       94.979      175.944
      457        0.289        3.629            0      297.121      111.560      175.522
      458        0.238        3.588            0      295.177      109.735      176.932
      459        0.349        3.623            0      295.242      107.402      173.473
      460        0.291        3.613            0      295.286       83.810      175.225
