NatID,SMILES
160,COc1ccc2cc3c4c(c(CO)c(OC)c(OC)c4c2c1)C(=O)N3
161,COc1c(O)cc(CCN(C)C)c2ccc3ccccc3c12
162,C=C(C)c1cc2cc(C(C)=O)c(O)cc2o1
163,COc1cc(OC)c(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1O
164,COc1cc2ccc(=O)oc2cc1O
165,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1O
167,CC(C)=C1CC[C@@H](C)[C@]2(C[C@@H](c3ccoc3)OC2=O)[C@H]1CCC(=O)O
168,CC(C)=C1CC[C@@H](C)[C@]2(C[C@@H](c3ccoc3)OC2=O)[C@H]1CCCO
169,C[C@@H]1CCC2=C(CC[C@@H](O)C2(C)C)[C@@]12C[C@@H](c1ccoc1)OC2=O
171,CC1(C)CC[C@]2(CO)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
172,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)C[C@H](O)[C@@]2(CO)CC[C@H]1C
173,CC1(C)CC[C@]2(C)[C@@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
174,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(CO)CC[C@H]1C
175,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)[C@@H](O)C[C@H]1C
176,CCCC(=O)C1=C(O)C(C)(CC=C(C)C)C(O)=C(Cc2c(OC)cc(O)c(C(=O)CCC)c2O)C1=O
182,C=C1C(=O)O[C@@H]2C=C(C)[C@@H](OC(=O)[C@H](O)C(C)C)CC=C(C)C[C@@H](OC(=O)C(=CCO)CO)[C@@H]12
184,C=C1C(=O)O[C@@H]2C=C(C)[C@@H](OC(C)=O)CC=C(C)C[C@@H](OC(=O)c3ccoc3)[C@@H]12
185,C=C1C(=O)OC2C=C(C)C(OC(=O)CC(C)C)CC=C(C)CC(OC(=O)C(=CCO)CO)C12
186,CC1=C[C@H]2OC(=O)C[C-]2[C@H](OC(=O)C(=CCO)CO)C[C@@]2(C)O[C@@H]2C[C@@H]1O
187,CC1=CC2OC(=O)C[C-]2C(OC(=O)c2ccoc2)CC2(C)OC2CC1O
193,C=C(C)C(=O)O[C@H]1C[C@@]2(C)OC(=CC2=O)C(=C)[C@@H](O)[C@H]2OC(=O)C(=C)[C@H]12
204,CCCC(=O)CCOc1ccc(C=CC(=O)O)cc1OC
207,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)c(OC)c3o2)cc1
208,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc1
209,CC(C)CC(=O)c1cc(C(=O)O)cc(C=CC(C)(C)O)c1O
210,CC1(C)C=Cc2cc(C(=O)O)c(O)cc2O1
211,CC(=O)c1ccc(O)c(C(=O)CC(C)C)c1
212,C[C@@H]1C[C@H]2CC(=O)[C@H]3CCCN4CCC[C@H]2[C@]34C1
