  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      398        0.201        3.452            0      304.995      184.213      160.952
      399        0.175        3.429            0      304.579      150.234      163.547
      400        0.246        3.455            0      306.289      160.077      158.216
      401        0.228        3.496            0      309.332      178.482      162.299
      402        0.252        3.480            0      306.734      142.687      161.433
      403        0.186        3.473            0      306.385      143.777      162.870
      404        0.261        3.474            0      304.319      137.470      159.699
      405        0.292        3.441            0      304.195      137.768      160.839
      406        0.189        3.445            0      305.996      142.039      164.217
      407        0.153        3.434            0      304.594      134.060      164.345
      408        0.180        3.425            0      305.711      103.223      162.368
      409        0.106        3.440            0      305.563      163.194      159.619
      410        0.187        3.490            0      306.324      148.605      160.494
      411        0.245        3.414            0      304.011      151.824      160.623
      412        0.182        3.487            0      305.783      159.788      159.033
      413        0.220        3.400            0      303.221      146.615      161.768
      414        0.190        3.448            0      304.872      193.301      162.776
      415        0.177        3.495            0      306.967      171.367      159.952
      416        0.191        3.488            0      306.895      143.686      160.570
      417        0.148        3.449            0      305.591      143.052      160.028
      418        0.213        3.447            0      306.586      175.435      161.264
      419        0.179        3.436            0      304.704      185.117      162.424
      420        0.228        3.458            0      306.789      148.348      161.616
      421        0.205        3.472            0      306.114      168.462      156.974
      422        0.307        3.367            0      301.739      163.437      159.915
      423        0.349        3.411            0      302.582      169.282      164.069
      424        0.217        3.438            0      305.094      151.953      161.120
      425        0.301        3.498            0      307.477      171.817      160.559
      426        0.271        3.436            0      305.759      147.606      163.138
      427        0.252        3.425            0      304.791      165.763      160.431
      428        0.213        3.408            0      305.454      146.658      166.152
      429        0.217        3.484            0      307.924      203.649      161.045
      430        0.216        3.439            0      306.104      262.764      164.217
      431        0.186        3.461            0      305.546      249.485      161.398
      432        0.215        3.445            0      307.966      247.374      163.767
      433        0.256        3.479            0      307.369      247.864      162.818
      434        0.217        3.465            0      307.406      255.638      163.811
      435        0.143        3.468            0      306.436      251.072      160.469
      436        0.166        3.442            0      304.972      256.844      162.435
      437        0.224        3.458            0      306.297      230.850      159.099
      438        0.227        3.452            0      306.148      242.223      158.617
      439        0.252        3.476            0      306.527      222.931      159.963
      440        0.255        3.440            0      303.988      194.848      155.590
      441        0.240        3.492            0      306.755      219.681      157.590
      442        0.169        3.449            0      304.868      172.411      162.206
      443        0.173        3.461            0      307.597      164.689      160.864
