  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      413        0.843        3.992            0      297.198      224.525      174.837
      414        0.933        3.977            0      298.343      208.148      173.887
      415        0.788        4.005            0      298.008      208.916      168.601
      416        0.761        4.031            0      298.848      210.207      172.241
      417        0.814        4.001            0      299.282      210.227      175.558
      418        0.690        4.032            0      298.651      222.219      170.491
      419        0.391        4.032            0      296.302      241.539      161.341
      420        0.596        4.002            0      298.385      219.258      174.302
      421        0.413        4.044            0      297.860      198.658      169.028
      422        0.732        4.016            0      299.260      228.213      170.553
      423        0.858        3.946            0      297.246      207.261      172.155
      424        0.747        3.988            0      299.169      198.938      172.133
      425        0.688        4.042            0      300.579      166.966      170.772
      426        0.994        3.962            0      297.064      178.425      170.822
      427        0.770        3.960            0      296.428      197.655      172.395
      428        0.809        3.974            0      296.799      187.233      169.772
      429        0.939        3.938            0      295.880      171.440      168.603
      430        0.899        3.993            0      299.129      184.072      175.098
      431        0.900        4.026            0      300.446      191.765      172.233
      432        0.851        4.041            0      300.798      191.353      171.447
      433        0.778        3.987            0      296.198      186.591      166.067
      434        0.776        3.997            0      297.780      197.520      170.808
      435        0.904        3.996            0      298.059      179.109      173.248
      436        0.644        3.972            0      296.677      176.093      173.064
      437        0.591        4.025            0      298.982      185.224      173.361
      438        0.855        4.005            0      299.023      174.621      172.965
      439        0.769        3.998            0      297.069      200.727      172.539
      440        0.856        4.005            0      298.139      173.850      173.640
      441        0.845        4.005            0      298.683      172.293      173.492
      442        0.803        4.032            0      299.621      188.807      173.879
      443        0.687        4.020            0      299.614      190.666      177.067
      444        0.849        3.993            0      297.530      176.261      171.990
      445        0.783        4.020            0      298.509      192.037      174.846
      446        0.720        4.035            0      298.551      180.749      174.953
      447        0.648        4.020            0      298.821      155.465      171.387
      448        0.597        4.014            0      298.576      188.019      174.195
      449        0.767        4.031            0      301.184      202.962      173.216
      450        0.740        4.047            0      300.073      193.606      172.835
      451        0.619        4.037            0      300.457      209.617      179.938
      452        0.857        3.963            0      297.170      177.595      172.483
      453        0.651        3.980            0      296.799      178.606      174.315
      454        0.758        4.057            0      300.443      184.721      174.258
      455        0.645        4.020            0      298.263      184.660      170.810
      456        0.873        3.970            0      298.304      181.194      166.354
      457        0.755        4.011            0      298.755      168.781      173.955
      458        0.736        4.033            0      299.344      165.217      171.054
      459        0.817        4.013            0      299.258      157.332      178.457
      460        0.841        4.024            0      298.974      141.915      167.951
      461        0.699        3.988            0      296.788      175.019      173.615
      462        0.562        4.070            0      299.167      184.673      167.032
      463        0.851        3.962            0      299.110      175.505      171.006
      464        0.883        4.045            0      300.822      171.228      176.139
      465        0.838        4.032            0      299.066      186.129      171.180
      466        0.746        4.020            0      298.724      160.978      170.102
